dog_id,hs_condition,days_from_present,months_from_present
37385,1801,2363,77.68
52445,1113,964,31.68
96392,198,721,23.68
96392,1701,721,23.68
96392,1817,811,26.68
54124,304,933,30.68
54124,307,933,30.68
54124,408,4586,150.68
54124,1703,2241,73.68
64834,426,3490,114.68
47898,412,3824,125.68
47898,426,1998,65.68
47898,504,3824,125.68
47898,1801,3186,104.68
47898,1805,2516,82.68
88961,305,2394,78.68
88961,306,2394,78.68
88961,432,1391,45.68
88961,705,933,30.68
88961,713,3125,102.68
88961,1312,1876,61.68
22629,405,2029,66.68
22629,407,2029,66.68
22629,411,2029,66.68
22629,709,3947,129.68
22629,1616,3916,128.68
94093,305,1146,37.68
94093,498,3186,104.68
94093,906,1391,45.68
94093,1113,780,25.68
94093,1626,1391,45.68
94093,1898,3278,107.68
93667,304,1480,48.68
93667,305,2852,93.68
93667,406,3459,113.68
93667,426,3702,121.68
93667,428,811,26.68
93667,712,3702,121.68
93667,1616,3824,125.68
30906,304,2241,73.68
30906,306,2455,80.68
30906,428,1421,46.68
30906,1105,2516,82.68
30906,1801,2852,93.68
63899,1704,1115,36.68
97112,1001,3003,98.68
97112,102,933,30.68
97112,1605,841,27.68
97112,1634,1786,58.68
11247,102,1391,45.68
11247,411,1845,60.68
11247,512,2455,80.68
1654,305,1055,34.68
1654,1627,1055,34.68
1654,1812,1907,62.68
25269,304,1756,57.68
42724,1110,2394,78.68
42724,1801,1725,56.68
102584,102,2121,69.68
102584,1627,5043,165.68
15252,107,1633,53.68
15252,111,1633,53.68
15252,112,902,29.68
15252,407,933,30.68
15252,1801,1542,50.68
19306,306,1937,63.68
19306,415,3003,98.68
19306,498,3033,99.68
55691,1617,2547,83.68
99876,407,811,26.68
99876,426,721,23.68
45006,432,994,32.68
45006,1113,1268,41.68
45006,1215,2060,67.68
45006,1627,964,31.68
28473,1622,994,32.68
3058,423,1055,34.68
102257,202,780,25.68
102257,915,1115,36.68
35333,305,1238,40.68
35333,306,1238,40.68
88130,102,1115,36.68
